Table Size,Hit Count No Hash, Miss Count No Hash, Hit Count Hash, Miss Count Hash
1,1,0,1,0
2,2,2,2,0
3,3,6,3,0
4,4,12,4,0
5,5,20,5,0
6,6,30,6,0
7,7,42,7,0
8,8,56,8,0
9,9,72,9,0
10,10,90,10,0
11,11,110,11,0
12,12,132,12,0
13,13,156,13,0
14,14,182,14,0
15,15,210,15,0
16,16,240,16,0
17,17,272,17,0
18,18,306,18,0
19,19,342,19,0
20,20,380,20,0
21,21,420,21,0
22,22,462,22,0
23,23,506,23,0
24,24,552,24,0
25,25,600,25,0
26,26,650,26,0
27,27,702,27,0
28,28,756,28,0
29,29,812,29,0
30,30,870,30,0
31,31,930,31,0
32,32,992,32,0
33,33,1056,33,0
34,34,1122,34,0
35,35,1190,35,0
36,36,1260,36,0
37,37,1332,37,0
38,38,1406,38,0
39,39,1482,39,0
40,40,1560,40,0
41,41,1640,41,0
42,42,1722,42,0
43,43,1806,43,0
44,44,1892,44,0
45,45,1980,45,0
46,46,2070,46,0
47,47,2162,47,0
48,48,2256,48,0
49,49,2352,49,0
50,50,2450,50,0
